,countrycode,country,year,pop,rgdpo,emp,avh,hc,labsh,rtfpna,cn,ln_y,ln_k,ln_h,labour_share,k,y,y_kh,A_tilde,ln_avh_dot_h,it
0,ARG,Argentina,2002,37.682,425342.156,13.413,1710.037,2.709,0.318,0.886,1693605.25,10.364424811030386,11.74614571278356,0.996579563102958,0.318,126265.95467084172,31711.187355550584,21244.816372024583,1.4926552811870024,8.440849849792478,10.8821
1,AUT,Austria,2002,8.134,306288.469,3.781,1782.848,3.15,0.584,0.986,1116921.25,11.302294121104843,12.596098049314323,1.1474024528375417,0.584,295403.6630521026,81007.26500925681,34867.85716099972,2.323264794713705,8.63336981748737,36.56
2,BEL,Belgium,2002,10.365,358492.688,4.188,1593.646,3.011,0.632,1.011,1240596.25,11.35744024971068,12.59887937577736,1.102272249499597,0.632,296226.4207258835,85599.97325692455,32073.11927344889,2.6689007865782117,8.476052001375178,46.33
3,BGR,Bulgaria,2002,7.866,84463.75,2.963,1651.259,2.937,0.454,1.104,125949.164,10.25787545862671,10.657431375612715,1.077388652216483,0.454,42507.311508606144,28506.159298008773,13186.15360007523,2.1618252117013212,8.486681958454517,9.08
4,BRA,Brazil,2002,179.538,1657569.0,71.254,1818.726,2.127,0.533,1.129,5286129.5,10.054611671211143,11.214345914598205,0.7547125362181001,0.533,74187.12633676705,23262.82033289359,15087.666937454705,1.541843442682599,8.260604071174548,9.14943
5,CAN,Canada,2002,31.178,1282036.25,15.427,1754.363,3.534,0.657,1.022,4037697.5,11.327840971164234,12.475065940695547,1.2624303738975047,0.657,261729.27335191547,83103.40636546315,34783.269023915534,2.38917757581453,8.732291480947508,61.5933
6,CHE,Switzerland,2002,7.22,338812.719,4.009,1651.258,3.549,0.71,0.964,1209114.0,11.344660948717323,12.616856584295244,1.2666658736643595,0.71,301599.90022449486,84513.02544275379,36020.75162782272,2.3462315921657573,8.675958574303692,61.4
7,CHL,Chile,2002,15.684,180072.953,5.736,2250.0,2.824,0.493,1.079,641346.5,10.354355238909864,11.62456304817715,1.0381543196309957,0.493,111810.75662482566,31393.47158298466,23818.858287983796,1.3180090835345424,8.756839814829462,22.1
8,CHN,China,2002,1307.352,6458509.0,748.695,2118.201,2.346,0.603,0.846,16249036.0,9.062577353193609,9.98521245093136,0.8527117502312838,0.603,21703.144805294545,8626.35519136631,9801.668276705728,0.8800905058037292,8.511034172739693,4.5957
9,COL,Colombia,2002,40.875,313160.906,14.682,2032.289,2.206,0.491,0.978,1172263.75,9.96785016041887,11.28782501277432,0.7911809208313108,0.491,79843.60100803705,21329.58084729601,16899.2195865405,1.2621636601659463,8.4080989438262,4.6
10,CRI,Costa Rica,2002,4.101,43845.906,1.565,2362.696,2.473,0.575,0.915,96437.602,10.240550805709525,11.028765642792685,0.9054319885392791,0.575,61621.47092651757,28016.55335463259,17300.446215256263,1.6194121819775036,8.672990607428904,19.8949
11,CYP,Cyprus,2002,0.71,19092.965,0.279,1923.207,2.586,0.505,1.038,87515.422,11.133618718739994,12.65611380540459,0.9501122803496657,0.505,313675.34767025086,68433.56630824372,33572.257869941066,2.03839630248747,8.511861664450985,28.32
12,CZE,Czech Republic,2002,10.252,238087.016,4.915,1816.57,3.59,0.522,0.8,1262343.625,10.78809974567955,12.456188817474928,1.2781522025001875,0.522,256834.91861648016,48440.898474059,35435.15708055309,1.3670293139646756,8.782857589064438,23.93
13,DEU,Germany,2002,81.535,3065723.0,39.234,1448.924,3.584,0.636,0.94,10721438.0,11.266250270797949,12.518212128594575,1.276479495112684,0.636,273269.05235255137,78139.445379008,32247.765318700483,2.4230964411569604,8.555055986092325,48.82
14,DNK,Denmark,2002,5.373,199138.922,2.783,1462.585,3.328,0.641,0.969,682321.438,11.178228478106579,12.409726659962551,1.2023715229589622,0.641,245174.7890765361,71555.48760330578,29623.276197177816,2.4155156616378175,8.490332220034212,64.25
15,DOM,Dominican Republic,2002,8.725,78946.961,3.078,2137.661,2.192,0.546,0.936,203952.797,10.152251490809327,11.101363823380604,0.7848143690857692,0.546,66261.46751137103,25648.785250162444,15881.801515279596,1.614979586886677,8.452281888697579,6.82373
16,ECU,Ecuador,2002,13.143,81936.211,4.98,1823.495,2.515,0.473,0.946,351586.063,9.708266417843083,11.164779914176876,0.9222728035517026,0.473,70599.61104417671,16453.05441767068,16164.254231609886,1.0178665951378092,8.430783071816968,4.2608
17,ESP,Spain,2002,41.92,1226799.625,17.661,1763.647,2.668,0.637,1.035,4424054.0,11.148560586834657,12.431208209543861,0.9813291280533774,0.637,250498.49951871354,69463.76903912575,29376.60495896707,2.3645948582605785,8.456468231216075,20.39
18,EST,Estonia,2002,1.383,20390.424,0.604,1972.69,3.332,0.56,0.874,57993.188,10.427001738906732,11.472261915402427,1.2035727243045962,0.56,96015.21192052981,33758.98013245033,22614.069215806663,1.492830848366452,8.790726096847067,41.52
19,FIN,Finland,2002,5.213,187059.531,2.37,1682.499,3.171,0.565,0.995,717219.25,11.276292237621423,12.620246905696673,1.1540469955562103,0.565,302624.15611814347,78928.07215189873,34296.30572219036,2.3013578427728665,8.582082462721276,62.43
20,FRA,France,2002,61.712,2197271.75,26.102,1503.887,2.924,0.622,1.035,6834510.5,11.340715095369621,12.475483469151396,1.072952541887532,0.622,261838.57558807754,84180.20649758639,28907.20177810143,2.9120842322883314,8.38876091059597,30.18
21,GBR,United Kingdom,2002,59.326,2123617.0,27.804,1678.561,3.547,0.593,1.001,5825548.5,11.243451429695435,12.252583820834863,1.2661021757914848,0.593,209521.95727233493,76378.11106315638,30716.012102816032,2.4865894311896715,8.69179433352322,56.48
22,GRC,Greece,2002,11.182,303662.781,4.578,2093.215,2.77,0.538,1.174,1438109.25,11.102410870132983,12.657577566421317,1.0188473201992472,0.538,314134.82961992134,66330.88269986893,36492.74217436365,1.8176458864871694,8.665303760733156,14.67
23,HKG,"China, Hong Kong SAR",2002,6.702,329354.219,3.269,2343.431,2.847,0.514,0.813,1108844.875,11.520404976325178,12.734345250537842,1.0462658082959004,0.514,339200.02294279594,100750.75527684306,40778.578948731156,2.4706784266198163,8.805637182084602,43.0824
24,HRV,Croatia,2002,4.396,66871.969,1.697,1923.653,2.966,0.683,1.049,241906.297,10.581673173554597,11.86744374142516,1.0872142437157404,0.683,142549.37949322333,39405.992339422504,25137.196246360953,1.5676367385295489,8.649195505245403,17.76
25,HUN,Hungary,2002,10.167,188578.797,4.122,1883.632,3.022,0.588,0.947,504475.438,10.730932737275564,11.714935949294787,1.1059188638505477,0.588,122386.08393983504,45749.3442503639,23402.08693854479,1.9549258307818562,8.646875970820597,16.67
26,IDN,Indonesia,2002,217.358,829739.188,93.168,1993.869,2.23,0.449,0.833,2082478.5,9.094462383971708,10.014665013745425,0.8020015854720274,0.449,22351.864374034,8905.838785849217,9357.353324613858,0.9517476231685125,8.399833836744389,2.13414
